id,question
3ba4d080-97a6-4954-829e-121e008c43e9,How do I request access to the Hack for LA website GitHub repository?
3ba4d080-97a6-4954-829e-121e008c43e9,What steps should I take after accepting the GitHub invite for the Hack for LA repository?
3ba4d080-97a6-4954-829e-121e008c43e9,Where can I find instructions on making my Hack for LA GitHub organization membership public?
3ba4d080-97a6-4954-829e-121e008c43e9,"Is two-factor authentication required for contributing to the Hack for LA project, and if so, how do I set it up?"
3ba4d080-97a6-4954-829e-121e008c43e9,What information should I include in my introductory message to the hfla-site Slack channel?
b3c6a636-faff-4353-b429-4175bda0a22e,"What are the installation options for Git on a Mac, and how much space do they require?"
b3c6a636-faff-4353-b429-4175bda0a22e,Is there a way to install Git on a Mac that uses less storage space?
b3c6a636-faff-4353-b429-4175bda0a22e,Where can I find instructions for installing Git on different operating systems?
b3c6a636-faff-4353-b429-4175bda0a22e,What's the recommended Git installation method for participating in Hack for LA projects?
b3c6a636-faff-4353-b429-4175bda0a22e,"How can I install Git using Homebrew, and what are the space requirements for this method?"
cd95b82f-577c-4785-a6c9-506f830d8876,How do I create a copy of the Hack for LA website repository on my GitHub account?
cd95b82f-577c-4785-a6c9-506f830d8876,What is the purpose of forking a repository and how does it relate to contributing?
cd95b82f-577c-4785-a6c9-506f830d8876,Can you explain the steps to fork the Hack for LA website repository?
cd95b82f-577c-4785-a6c9-506f830d8876,"After forking, what should the URL of my forked repository look like?"
cd95b82f-577c-4785-a6c9-506f830d8876,Is the forked repository automatically available on my local machine after forking on GitHub?
30f244ee-b626-47b8-8775-9b1f539487ad,What prerequisite software do I need to install before cloning a repository to my local machine?
30f244ee-b626-47b8-8775-9b1f539487ad,Can you explain the process of creating a local copy of a forked repository on my computer?
30f244ee-b626-47b8-8775-9b1f539487ad,Where can I find instructions for installing Git on different operating systems?
ac8e0f36-ea98-4ce0-badc-4b1195f83651,How do I create a new folder for Hack for LA projects on my computer?
ac8e0f36-ea98-4ce0-badc-4b1195f83651,What's the correct command to clone the Hack for LA website repository?
ac8e0f36-ea98-4ce0-badc-4b1195f83651,"After cloning the repository, how can I verify that the 'website' folder was created successfully?"
ac8e0f36-ea98-4ce0-badc-4b1195f83651,Can you explain the process of navigating to the newly created 'website' directory using the command line?
ac8e0f36-ea98-4ce0-badc-4b1195f83651,Is it necessary to name the parent folder 'hackforla' when setting up the development environment?
33d49e14-6ac9-4f2a-ae09-824feac3963f,How can I confirm that my local repository is correctly linked to my forked repo on GitHub?
33d49e14-6ac9-4f2a-ae09-824feac3963f,What command should I use to view the remote URLs associated with my local repository?
33d49e14-6ac9-4f2a-ae09-824feac3963f,Why is it necessary to add an upstream remote to my local repository?
33d49e14-6ac9-4f2a-ae09-824feac3963f,How do I add the upstream remote for the original Hack for LA repository?
33d49e14-6ac9-4f2a-ae09-824feac3963f,"After adding the upstream remote, what should I expect to see when running 'git remote -v'?"
7da5e900-3183-4d40-b0af-021562c21707,How do I update the origin remote URL for my forked repository?
7da5e900-3183-4d40-b0af-021562c21707,What's the correct format for setting the origin remote URL in Git?
7da5e900-3183-4d40-b0af-021562c21707,I cloned the main HackForLA repository instead of my fork. How can I fix this without starting over?
729f9112-7dc4-4ad3-91c0-498578f7df13,What command should I use to add the original repository as a remote for syncing changes?
729f9112-7dc4-4ad3-91c0-498578f7df13,How can I set up an 'upstream' remote to incorporate future updates from the main project?
729f9112-7dc4-4ad3-91c0-498578f7df13,Is there a specific name I should use when adding the original Hack for LA repository as a remote?
53899e16-a861-4283-995b-d1d53162a69a,What is the recommended approach for local development of the hackforla.org website?
53899e16-a861-4283-995b-d1d53162a69a,Where can I find installation instructions for Docker on my specific operating system?
53899e16-a861-4283-995b-d1d53162a69a,What should I do if I encounter difficulties installing Docker on my system?
53899e16-a861-4283-995b-d1d53162a69a,Why is Docker recommended for local development of the Hack for LA website?
53899e16-a861-4283-995b-d1d53162a69a,Where can I learn more about Docker and containerization concepts?
dc2f0571-6ff0-4c0b-b230-e15d6c0977e4,"What should I do if I receive the error message 'You are not allowed to use Docker, you must be in the docker-users group' on Windows?"
dc2f0571-6ff0-4c0b-b230-e15d6c0977e4,Is there a guide available for resolving Docker permission issues on Windows 10?
dc2f0571-6ff0-4c0b-b230-e15d6c0977e4,Where can I find instructions for installing WSL2 on Windows?
c007557d-2e08-4492-83b1-d50608914bce,What should I ensure is running on my computer before executing the bash commands for the local Jekyll server?
c007557d-2e08-4492-83b1-d50608914bce,How can I start the Jekyll server locally to watch for changes and automatically rebuild the site?
c007557d-2e08-4492-83b1-d50608914bce,Where should I navigate to in my terminal before running the docker-compose command?
c007557d-2e08-4492-83b1-d50608914bce,What command should I use to start the local Jekyll server using Docker?
c007557d-2e08-4492-83b1-d50608914bce,How can I access the locally running website after successfully starting the Docker container?
2c34a7ce-fcd9-4e9d-a3d4-a2ae7e4454ba,What command should I use to completely remove the Jekyll server and its Docker container?
2c34a7ce-fcd9-4e9d-a3d4-a2ae7e4454ba,How can I temporarily stop the server without destroying it for my daily development work?
2c34a7ce-fcd9-4e9d-a3d4-a2ae7e4454ba,"If I've stopped the server without destroying it, what command will bring it back up later?"
79ffc2f1-2b89-48f1-bca3-59a03ef828d5,Is Visual Studio Code required for installing the Code Spell Checker extension?
